Username,Position,Team Name,Session Date,Match Day,Session Type,Session Name,Task Name,Player Duration,Distance (m),"Speed Zones (m) [0.0, 6.0]","Speed Zones (m) [6.0, 12.0]","Speed Zones (m) [12.0, 18.0]","Speed Zones (m) [18.0, 21.0]","Speed Zones (m) [21.0, 24.0]","Speed Zones (m) [24.0, 50.0]",Max Speed (km/h),Max Speed (Historical Player Maximum)
phillippfarber,Midfielder,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,8133.592821,2821.838135,2873.652588,1458.796509,426.5817871,343.4518433,209.27211,31.16160011,36.39
nereomarino,Centre Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,5086.417666,2020.478394,2062.734131,899.3504028,83.30335999,20.55138779,0,23.58720016,33.56999969
patrickkrueger,Midfielder,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:29:15,718.7136902,431.4815063,273.7834473,13.44874096,0,0,0,15.70679951,34.24700165
marvinsharpe,Winger,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,9572.79215,4374.458008,2901.281006,1594.261841,330.2919312,249.3238525,123.1753998,31.32360077,37.72399902
kianlong,Right Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,8278.748661,3404.831299,2830.495605,1655.305176,237.4538116,91.58982849,59.07289886,31.22639847,37.72
michalmunro,Left Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,9196.702042,2754.856445,3320.328613,2288.033936,435.4396667,263.4403992,134.6031036,31.47119904,32.46099854
noahbrooks,Centre Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,8208.819067,3120.039307,2947.841064,1518.59375,344.480011,182.5570679,95.30789185,30.10320091,33.48699951
georgeconnolly,Left Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,10938.17636,4389.26416,4342.311035,1602.038818,340.2096558,225.4985046,38.85419083,36.33839798,32.59
marmion,Left Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,7984.715317,3094.82373,2737.87793,1577.012817,315.4953613,157.7325287,101.7730255,30.48839951,33.56999969
davutmeijs,Winger,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,10221.70092,4718.263184,3005.506592,1742.0802,365.1812134,211.2759705,179.3938293,34.2899971,34.29
luisribeiro,Winger,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Session,01:48:14,3405.144631,2301.431396,868.9313354,185.4330444,36.47967911,0,12.8692112,28.54800034,33.3
TEAM,TEAM,TEAM,TEAM,TEAM,TEAM,TEAM,Session,01:46:31,7431.411211,3039.251415,2560.431213,1321.305021,264.992407,158.6746712,86.75651464,29.47679944,34.48627256
phillippfarber,Midfielder,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,5727.299294,2055.83252,1989.939819,1023.700012,316.9687195,221.7288055,119.1294022,31.16160011,36.39
patrickkrueger,Midfielder,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,00:35:14,569.6437688,315.3757324,243.2960052,10.97201443,0,0,0,13.53240013,34.24700165
nereomarino,Centre Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,3281.07979,1442.154785,1284.234131,484.5930786,60.94303131,9.154845238,0,22.74119949,33.56999969
michalmunro,Left Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,6499.767625,1866.752686,2285.012939,1751.317505,298.7564392,180.0259552,117.9021378,31.47119904,32.46099854
marvinsharpe,Winger,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,5571.376803,2376.422119,1773.748291,969.0210571,214.4760742,163.7785339,73.9306488,28.40399933,37.72399902
kianlong,Right Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,5711.905846,2463.218506,1902.050171,1125.078613,143.1233215,51.65367508,26.78153992,28.55160141,37.72
davutmeijs,Winger,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,6135.329382,2438.471436,1996.017822,1134.741333,302.8492432,179.8002472,83.44921112,29.48760033,34.29
luisribeiro,Winger,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,757.1315091,588.7837524,153.0230255,15.32472229,0,0,0,16.68600082,33.3
marmion,Left Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,5686.323607,2279.673828,1881.450439,1114.946655,233.9846191,115.3331146,60.93490219,28.71720123,33.56999969
noahbrooks,Centre Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,5724.371922,2306.297607,2021.249756,965.2745361,239.4437408,130.0790405,62.02715683,30.10320091,33.48699951
georgeconnolly,Left Back,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Drills,01:10:38,5689.19661,2097.151611,2302.338379,992.5409546,151.756424,119.0743027,26.33486557,36.33839798,32.59
TEAM,TEAM,TEAM,TEAM,TEAM,TEAM,TEAM,Drills,01:07:25,4668.493287,1839.103144,1621.123707,871.591862,178.3910557,106.4207745,51.86271494,27.0176728,34.48627256
phillippfarber,Midfielder,Wimu team,08/03/2021,+2 MD,Tactical,SESSION 08.03,Extensive Running,00:12:15,754.142722,395.962738,299.1248474,56.39847946,2.656668425,0,0,18.63360023,36.39
